Narration,Date,Withdrawal,Deposit,Closing,Keyword
UPI M JAGANNATH SWAMY Q YBL YES B YBLUPI PAYMENT FROM PHONE,05/01/2023,80.00,0.0,"4,22,900.34",UPI
UPI M JAGANNATH SWAMY Q YBL YES B YBLUPI PAYMENT FROM PHONE,05/01/2023,20.00,0.0,"4,22,880.34",UPI
UPI BUDDULA MADHU YBL UTIB PAYMENT FROM PHONE,05/01/2023,"15,000.00",0.0,"4,07,880.34",UPI
UPI SANTHOSH Q YBL KKBK PAYMENT FROM PHONE,05/01/2023,88.00,0.0,"4,07,792.34",UPI
UPI NATH SERVICE CENTRE PAYTM NV ER PAYTM PYTM PAYMEN T FROM PHONE,05/01/2023,30.00,0.0,"4,07,762.34",UPI
UPI A DASTAIAH Q YBL SBIN PAYMENT FROM PHONE,05/01/2023,15.00,0.0,"4,07,747.34",UPI
UPI KETHAVATH SURESH KSURESHS OKHDF CBANK CNRB PAYMENT F ROM PHONE,05/01/2023,62.00,0.0,"4,07,685.34",UPI
POS XXXXXX KFC RESTAURANTS,05/01/2023,764.00,0.0,"4,06,921.34",KFC
POS XXXXXX KFC RESTAURANTS,05/01/2023,407.00,0.0,"4,06,514.34",KFC
EAW XXXXXX HYDERABAD,05/01/2023,"5,500.00",0.0,"4,01,014.34",EAW
UPI KODAVATH SRINU KODAVATHSRINU OKI CICI UBIN PAYMENT FR OM PHONE,05/01/2023,90.00,0.0,"4,00,924.34",UPI
UPI PAYTM METRO PAYMENT PAYTM PA YTM PYTM OID PAY,05/01/2023,31.50,0.0,"4,00,892.84",METRO
UPI SOLANKI RAVI YBL SBIN PAYMENT FROM PHONE,05/01/2023,58.00,0.0,"4,00,834.84",UPI
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,06/01/2023,"3,000.00",0.00,"3,97,834.84",INDIANCLEARINGCORPOR
UPI KUMAR FAST FOOD PAYTMQR M FZVSRZ AXV PAYTM PYTM PAYMENT FROM PHONE,06/01/2023,150.00,0.00,"3,97,684.84",FOOD
